name,reasonClosure,kmeans_cluster,pca_component_1,pca_component_2,pca_component_3,pca_component_4,pca_component_5,tsne_x,tsne_y,lda_reason_component_1,lda_reason_component_2,lda_reason_component_3,lda_reason_component_4,lda_reason_component_5,lda_reason_component_6
Marlboro College,1,12,-3.8664857936887724,-5.069929328930778,0.03505559722596439,3.2918951769689326,-0.5664547128371025,256.53665,-216.6765,24.381704619815714,-28.297235365942164,-2.1826101320403564,3.2996483101150154,-3.554079978952525,-0.5113209236962716
Martin Methodist College (UT Southern),3,20,-1.6801376261712788,3.7548470788601906,-1.304259484693271,-0.6773359611452406,-0.7205960650693345,-186.8797,131.94893,-23.161548218297657,10.463117238710977,-7.486151854805568,-0.8903626887762481,-3.2598023749098908,-0.3146184194869402
Marymount California University,012,2,7.8557731703592335,1.4449965952549733,0.14426958562769196,1.04955729089813,-0.6331199833429795,358.8416,133.27266,63.91434382567038,29.44853288992138,3.2492908499405764,-1.3530098407742082,-1.6219439270383875,-0.2573743338214199
Medaille University,01,19,2.9995896122059142,-1.938160571229129,0.6218004364734218,-1.1414192147351965,1.118745043277503,191.55357,171.98691,4.166254655813982,-9.898095937378331,1.2124505247922415,-2.80035831140296,3.128252334881335,1.618507916070714
Mills College,0,2,7.9439403062986,1.4979734930841786,0.7304986285376958,0.8712728955589881,-1.0336839744537267,404.4299,245.00287,-6.159646057325632,5.050427060174554,0.8020264722402987,2.2651934012827097,2.0997461562533237,-0.2903884209982653
Multnomah University,0,9,-1.6050254752618898,-2.217545322754551,-0.7945536023916794,2.11918090458212,-1.2962927290857118,136.35321,-245.1538,-6.205185538185014,4.537051707115792,0.27379042832874745,2.9633812130504213,2.9830223319504565,0.13406905635541158
Nebraska Christian College,01,1,-2.4065440195416192,1.0882259760575506,-0.10424314805372381,-2.789223296535194,0.22678624059212676,-135.5483,59.59336,2.4494778183478183,-13.315737688395588,0.41117187295785307,-6.670201888754577,2.125548579469422,-0.5248421997705411
Notre Dame College,0,15,-0.6933975998772082,0.5124297698717415,0.7949453945190307,1.0155093688716177,0.24745831710355784,-17.953793,-80.51087,-5.018966011911023,3.8655101885280363,-1.8367636108818497,2.0505315075020887,1.6278602568076235,3.0590309824451105
Ohio Valley University,0,20,-3.7648942741413616,2.2013611600261624,-1.9064137677780602,0.4987178005442942,-0.8733238121142499,-258.49255,171.90884,-5.382204166372493,6.9397129491678005,1.284177285893034,2.076865404451154,4.110368601077303,-0.4265909222238205
Pacific Northwest College of Art,3,9,-1.5765427650494495,-2.2263464109710993,-0.7516226519185683,2.103891056279923,-1.3047928996273832,160.41112,-201.8461,-23.85221366480211,10.939528966387511,-7.138342542003373,-0.991979969032811,-4.805501909459249,-0.676809421374554
Pennsylvania College of Health Sciences,3,6,-0.16431116801737078,-2.105896155322638,1.6301944390659309,1.5598352268211504,-0.6310591937680173,202.42384,-94.51645,-23.39845056987276,11.058393098928923,-7.419161245458164,-0.8759877876733453,-3.7489191396473056,-0.5283636414908065
Pine Manor College,0,10,0.5279989333858507,-3.3461719879850493,-0.9588907241512298,-1.2297064862623968,-1.1565949543770744,123.28406,58.02701,-5.80117967933952,3.515831827268256,0.4973351369950533,3.720139360281306,2.189409969976386,-1.2593229379296251
Presentation College,0,13,-4.427307703166288,0.23126522968159147,1.7686951026558781,-0.645799253867345,3.088923934657956,-348.62494,-99.0938,-7.0133432381553655,6.061453800574471,-0.19586151553272202,3.644136182776816,2.412299942462451,-0.1735797695705786
Presidio Graduate School,0,2,7.977243150648557,1.5623539910603608,0.19048064362650885,1.0502909928989739,-1.099228420035045,461.9436,195.84349,-6.205185538183273,4.537051707121369,0.2737904283300242,2.9633812130516204,2.983022331951563,0.13406905635436087
Salus University,3,6,-0.1477583864769182,-2.0743370789033015,1.6141926061655913,1.5906472252802777,-0.745871912899876,231.01898,-46.353607,-25.43865191600052,11.48342422337078,-6.946706117882586,-0.4329952335071325,-4.748660221689621,-0.5947815151851442
San Francisco Art Institute,0,2,7.931703126942676,1.459784712652257,0.2370291782640392,0.8240456522577164,-0.9021495956591945,401.55536,180.73306,-6.551430173288719,5.560512424934254,-0.5450952928270968,2.7276548043371576,1.6404398121775385,1.254106513771616
Sierra Nevada University,12,18,-0.8929700506107938,-0.8650881882129078,-0.40686728279990314,-0.5994789656400695,0.08806109427906932,56.735775,-288.8232,-28.566741526103133,-1.9803264853809155,22.51148128525379,-0.84205197358595,-2.9339973651618885,-1.1225347874154727
St. Augustine College,3,0,1.0404842548510307,-0.8375258173808917,-2.0617791749395176,-1.194469337005574,1.794378488448119,-31.189306,210.07292,-23.39845056987438,11.058393098931374,-7.419161245457978,-0.8759877876733015,-3.7489191396465613,-0.5283636414914114
St. John's University -- Staten Island,1,19,2.9441122139095977,-1.9354097511405048,0.279905958136795,-0.8329927350052746,1.3363455933616624,231.40495,216.4188,24.244062163443544,-28.72725959038518,-2.134691998959902,3.2439351528691387,-3.3578716842827045,-0.3824236136191335
St. Louis Christian College,1,1,-1.6974068588677629,0.6887552158034537,-0.062477665738840976,-1.01563998913503,-0.4801873344183898,-147.4209,-2.8015244,24.210816314905685,-26.715632337747284,-3.709397498677456,4.487291315724495,-2.8402031045696745,-0.5858520822856313
The College of Saint Rose,0,19,2.9196858426731884,-1.901264534771576,0.5339149016138135,-1.0819684924027588,1.2991274428471962,245.43164,145.07144,-7.49876434388585,2.053578863175902,-0.5468585360528478,3.800915212887865,1.8187734477211992,0.7202183011545417
University of the Sciences,3,6,-0.17826285619216323,-2.1008398761265505,2.0318130003680777,1.502195295974707,-0.5831806569361386,150.47937,-78.08276,-22.754768302444983,10.862390069771392,-9.039236445140133,-0.619642741412092,-2.324170580686278,-0.34101642855336817
